127.0.0.1 - - [03/Apr/2017:15:57:49 +0300] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:47 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:47 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:52 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:52 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:52 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:57 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:57 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:57 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:02 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:02 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:02 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:07 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:07 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:07 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:12 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:12 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:12 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:17 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:17 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:17 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:22 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:22 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:22 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:27 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:27 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:28 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:32 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:32 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:32 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:37 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:37 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:37 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:42 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:42 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:43 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:47 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:47 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:47 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:53 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:53 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:53 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:57 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:57 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:02:57 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:03 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:03 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:03 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:07 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:07 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:07 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:12 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:12 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:12 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:03:18 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
